Метрика,Сравнение,Порог,Jaccard (клики),Jaccard (независимые)
kendall,по сезонам,0.05,0.46759259259259256,0.1111111111111111
kendall,по сезонам,0.1,0.4722222222222222,0.1111111111111111
kendall,по сезонам,0.15,0.4722222222222222,0.17129629629629628
kendall,по сезонам,0.2,0.4722222222222222,0.15740740740740738
kendall,по сезонам,0.25,0.47089947089947093,0.17592592592592593
kendall,по сезонам,0.3,0.5,0.15462962962962962
kendall,по сезонам,0.35,0.20694444444444446,0.20833333333333334
kendall,по сезонам,0.4,0.24074074074074073,0.19537037037037036
kendall,по сезонам,0.45,0.14814814814814814,0.23425925925925928
kendall,по сезонам,0.5,0.13999118165784832,0.2027777777777778
kendall,по сезонам,0.55,0.23849206349206348,0.3472222222222222
kendall,по сезонам,0.6,0.28730158730158734,0.4027777777777778
kendall,по сезонам,0.65,0.26322751322751325,0.40793650793650793
kendall,по сезонам,0.7,0.31635802469135804,0.43425925925925923
kendall,по сезонам,0.75,0.3109567901234568,0.49867724867724866
kendall,по сезонам,0.8,0.3822831489498156,0.5794973544973545
kendall,по сезонам,0.85,0.6029541446208113,0.6421957671957672
kendall,по сезонам,0.9,0.7222222222222222,0.7268518518518519
kendall,по сезонам,0.95,0.7222222222222222,0.7222222222222222
kendall,по типу наблюдений,0.05,0.5833333333333334,0.1111111111111111
kendall,по типу наблюдений,0.1,0.5833333333333334,0.125
kendall,по типу наблюдений,0.15,0.5833333333333334,0.2222222222222222
kendall,по типу наблюдений,0.2,0.5833333333333334,0.125
kendall,по типу наблюдений,0.25,0.5952380952380952,0.19444444444444445
kendall,по типу наблюдений,0.3,0.5604166666666667,0.43194444444444446
kendall,по типу наблюдений,0.35,0.6329365079365079,0.2333333333333333
kendall,по типу наблюдений,0.4,0.6904761904761904,0.2569444444444444
kendall,по типу наблюдений,0.45,0.3849206349206349,0.2916666666666667
kendall,по типу наблюдений,0.5,0.15029761904761904,0.21388888888888888
kendall,по типу наблюдений,0.55,0.17857142857142858,0.4069444444444444
kendall,по типу наблюдений,0.6,0.2698412698412698,0.3148809523809524
kendall,по типу наблюдений,0.65,0.30803571428571425,0.3448412698412698
kendall,по типу наблюдений,0.7,0.28273809523809523,0.3875
kendall,по типу наблюдений,0.75,0.30423280423280424,0.4857142857142857
kendall,по типу наблюдений,0.8,0.30423280423280424,0.4523809523809524
kendall,по типу наблюдений,0.85,0.2743055555555555,0.45436507936507936
kendall,по типу наблюдений,0.9,0.35185185185185186,0.5
kendall,по типу наблюдений,0.95,0.35185185185185186,0.5
pearson,по сезонам,0.05,0.4555555555555555,0.1111111111111111
pearson,по сезонам,0.1,0.3027777777777778,0.2222222222222222
pearson,по сезонам,0.15,0.3055555555555556,0.1111111111111111
pearson,по сезонам,0.2,0.3055555555555556,0.08333333333333333
pearson,по сезонам,0.25,0.3055555555555556,0.13425925925925924
pearson,по сезонам,0.3,0.2777777777777778,0.18055555555555555
pearson,по сезонам,0.35,0.28703703703703703,0.3212962962962963
pearson,по сезонам,0.4,0.17592592592592593,0.22685185185185183
pearson,по сезонам,0.45,0.18386243386243384,0.20833333333333334
pearson,по сезонам,0.5,0.19212962962962962,0.22685185185185183
pearson,по сезонам,0.55,0.18055555555555555,0.14166666666666666
pearson,по сезонам,0.6,0.1527777777777778,0.09722222222222222
pearson,по сезонам,0.65,0.10493827160493827,0.2935185185185185
pearson,по сезонам,0.7,0.12475749559082892,0.2601851851851852
pearson,по сезонам,0.75,0.16743827160493827,0.33584656084656084
pearson,по сезонам,0.8,0.2496031746031746,0.3564814814814815
pearson,по сезонам,0.85,0.24722222222222223,0.42539682539682544
pearson,по сезонам,0.9,0.246494708994709,0.4497354497354497
pearson,по сезонам,0.95,0.42546296296296293,0.6312169312169312
pearson,по типу наблюдений,0.05,0.5833333333333334,0.20833333333333334
pearson,по типу наблюдений,0.1,0.548611111111111,0.041666666666666664
pearson,по типу наблюдений,0.15,0.625,0.20833333333333334
pearson,по типу наблюдений,0.2,0.5694444444444444,0.125
pearson,по типу наблюдений,0.25,0.6166666666666667,0.3125
pearson,по типу наблюдений,0.3,0.5654761904761905,0.14583333333333334
pearson,по типу наблюдений,0.35,0.5166666666666667,0.1875
pearson,по типу наблюдений,0.4,0.5833333333333334,0.3819444444444444
pearson,по типу наблюдений,0.45,0.5654761904761905,0.3819444444444444
pearson,по типу наблюдений,0.5,0.625,0.22083333333333333
pearson,по типу наблюдений,0.55,0.6666666666666666,0.1708333333333333
pearson,по типу наблюдений,0.6,0.40185185185185185,0.5027777777777778
pearson,по типу наблюдений,0.65,0.1851851851851852,0.31666666666666665
pearson,по типу наблюдений,0.7,0.16666666666666666,0.2333333333333333
pearson,по типу наблюдений,0.75,0.13756613756613756,0.23055555555555554
pearson,по типу наблюдений,0.8,0.22896825396825396,0.34781746031746036
pearson,по типу наблюдений,0.85,0.27619047619047615,0.3458333333333334
pearson,по типу наблюдений,0.9,0.3097943722943723,0.48214285714285715
pearson,по типу наблюдений,0.95,0.34378306878306875,0.5499999999999999
